,Country,HDI_Tier,HDI_2022,HDI_2021,HDI_1990,Continent,HDI_Rank,Life_Expectancy_At_Birth_Years_2022,Expected_Years_Of_Schooling_Years_2022,Mean_Years_Of_Schooling_Years_2022,Gross_National_Income_Per_Capital_2022,Change_HDI_2022_21,Result_HDI_2022_21,Happiness_Score_2022
1,Afghanistan,Low,0.462,0.473,0.284,Asia,182,62.9,10.7,2.5,1335,-0.011,Negative / Deterioration,2.404
2,Albania,High,0.789,0.785,0.649,Europe,74,76.8,14.5,10.1,15293,0.004,Positive / Improvement,5.199
3,Algeria,High,0.745,0.74,0.593,Africa,93,77.1,15.5,7,10978,0.005,Positive / Improvement,5.122
4,Argentina,Very High,0.849,0.844,0.724,South America,48,76.1,19,11.1,22048,0.005,Positive / Improvement,5.967
5,Armenia,High,0.786,0.774,0.658,Asia,76,73.4,14.4,11.3,15388,0.012,Positive / Improvement,5.399
6,Australia,Very High,0.946,0.949,0.864,Oceania,10,83.6,21.1,12.7,49257,-0.003,Negative / Deterioration,7.162
7,Austria,Very High,0.926,0.92,0.823,Europe,22,82.4,16.4,12.3,56530,0.006,Positive / Improvement,7.163
9,Bahrain,Very High,0.888,0.884,0.733,Asia,34,79.2,16.3,11,48731,0.004,Positive / Improvement,6.647
10,Bangladesh,Medium,0.67,0.662,0.399,Asia,129,73.7,11.9,7.4,6511,0.008,Positive / Improvement,5.155
12,Belgium,Very High,0.942,0.938,0.814,Europe,12,82.3,18.9,12.5,53644,0.004,Positive / Improvement,6.805
14,Benin,Low,0.504,0.502,0.35,Africa,173,60,10.3,3.1,3406,0.002,Positive / Improvement,4.623
15,Botswana,High,0.708,0.68,0.587,Africa,114,65.9,11.4,10.4,14842,0.028,Positive / Improvement,3.471
16,Brazil,High,0.76,0.756,0.62,South America,89,73.4,15.6,8.3,14616,0.004,Positive / Improvement,6.293
17,Bulgaria,High,0.799,0.796,0.698,Europe,70,71.5,13.9,11.4,25921,0.003,Positive / Improvement,5.371
19,Cambodia,Medium,0.6,0.596,0.379,Asia,148,69.9,11.6,5.2,4291,0.004,Positive / Improvement,4.64
20,Cameroon,Medium,0.587,0.581,0.44,Africa,151,61,13.4,6.5,3681,0.006,Positive / Improvement,5.048
21,Canada,Very High,0.935,0.934,0.861,North America,18,82.8,16,13.9,48444,0.001,Positive / Improvement,7.025
23,Chile,Very High,0.86,0.856,0.705,South America,44,79.5,16.8,11.1,24431,0.004,Positive / Improvement,6.172
24,China,High,0.788,0.785,0.482,Asia,75,78.6,15.2,8.1,18025,0.003,Positive / Improvement,5.585
25,Colombia,High,0.758,0.752,0.614,South America,91,73.7,14.4,8.9,15014,0.006,Positive / Improvement,5.781
26,Costa Rica,Very High,0.806,0.804,0.659,North America,64,77.3,16.1,8.8,20248,0.002,Positive / Improvement,6.582
28,Cyprus,Very High,0.907,0.901,0.733,Transcontinental,29,81.9,16.2,12.4,40137,0.006,Positive / Improvement,6.221
29,Denmark,Very High,0.952,0.947,0.839,Europe,5,81.9,18.8,13,62019,0.005,Positive / Improvement,7.636
30,Dominican Republic,High,0.766,0.756,0.579,North America,82,74.2,13.6,9.2,18653,0.01,Positive / Improvement,5.737
31,Ecuador,High,0.765,0.746,0.645,South America,83,77.9,14.9,9,10693,0.019,Positive / Improvement,5.553
32,Egypt,High,0.728,0.726,0.567,Africa,105,70.2,12.9,9.8,12361,0.002,Positive / Improvement,4.288
33,El Salvador,Medium,0.674,0.669,0.519,North America,127,71.5,11.9,7.2,8886,0.005,Positive / Improvement,6.12
34,Estonia,Very High,0.899,0.89,0.741,Europe,31,79.2,15.9,13.5,37152,0.009,Positive / Improvement,6.341
36,Finland,Very High,0.942,0.941,0.811,Europe,12,82.4,19.2,12.9,49522,0.001,Positive / Improvement,7.821
37,France,Very High,0.91,0.906,0.79,Europe,28,83.2,16,11.7,47379,0.004,Positive / Improvement,6.687
38,Gabon,Medium,0.693,0.687,0.599,Africa,123,65.7,12.4,9.6,11194,0.006,Positive / Improvement,4.958
39,Gambia,Low,0.495,0.49,0.323,Africa,174,62.9,9,4.5,2090,0.005,Positive / Improvement,5.164
40,Germany,Very High,0.95,0.948,0.828,Europe,7,81,17.3,14.3,55340,0.002,Positive / Improvement,7.034
41,Ghana,Medium,0.602,0.6,0.445,Africa,145,63.9,11.6,6.4,5380,0.002,Positive / Improvement,4.872
42,Greece,Very High,0.893,0.887,0.762,Europe,33,80.6,20,11.4,31382,0.006,Positive / Improvement,5.948
43,Guatemala,Medium,0.629,0.63,0.49,North America,136,68.7,10.8,5.7,8996,-0.001,Negative / Deterioration,6.262
44,Guinea,Low,0.471,0.467,0.27,Africa,181,59,10.2,2.4,2404,0.004,Positive / Improvement,4.891
47,Honduras,Medium,0.624,0.62,0.513,North America,138,70.7,10,7.3,5272,0.004,Positive / Improvement,6.022
48,Hungary,Very High,0.851,0.846,0.721,Europe,47,75,15.1,12.2,34196,0.005,Positive / Improvement,6.086
49,Iceland,Very High,0.959,0.957,0.834,Europe,3,82.8,19.1,13.8,54688,0.002,Positive / Improvement,7.557
50,India,Medium,0.644,0.633,0.434,Asia,134,67.7,12.6,6.6,6951,0.011,Positive / Improvement,3.777
51,Indonesia,High,0.713,0.707,0.526,Asia,112,68.3,14,8.6,12046,0.006,Positive / Improvement,5.24
52,Iraq,Medium,0.673,0.667,0.497,Asia,128,71.3,12.2,6.8,9092,0.006,Positive / Improvement,4.941
53,Ireland,Very High,0.95,0.946,0.743,Europe,7,82.7,19.1,11.7,87468,0.004,Positive / Improvement,7.041
54,Israel,Very High,0.915,0.911,0.781,Asia,25,82.6,15,13.4,43588,0.004,Positive / Improvement,7.364
55,Italy,Very High,0.906,0.899,0.78,Europe,30,84.1,16.7,10.7,44284,0.007,Positive / Improvement,6.467
56,Jamaica,High,0.706,0.704,0.664,North America,115,70.6,12.5,9.2,9695,0.002,Positive / Improvement,5.85
57,Japan,Very High,0.92,0.92,0.846,Asia,24,84.8,15.5,12.7,43644,0,No change / Constant,6.039
58,Jordan,High,0.736,0.736,0.622,Asia,99,74.2,12.6,10.4,9295,0,No change / Constant,4.152
59,Kazakhstan,Very High,0.802,0.801,0.672,Asia,67,69.5,14.8,12.4,22587,0.001,Positive / Improvement,6.234
60,Kenya,Medium,0.601,0.596,0.48,Africa,146,62.1,11.4,7.7,4808,0.005,Positive / Improvement,4.543
61,Kuwait,Very High,0.847,0.836,0.698,Asia,49,80.3,15.7,7.4,56729,0.011,Positive / Improvement,6.106
62,Kyrgyzstan,High,0.701,0.696,0.637,Asia,117,70.5,13,12,4782,0.005,Positive / Improvement,5.828
63,Latvia,Very High,0.879,0.865,0.732,Europe,37,75.9,16.6,13.3,32083,0.014,Positive / Improvement,6.18
64,Lesotho,Low,0.521,0.522,0.479,Africa,168,53,11.1,7.5,2709,-0.001,Negative / Deterioration,3.512
65,Libya,High,0.746,0.746,0.724,Africa,92,72.2,14,7.8,19752,0,No change / Constant,5.33
66,Lithuania,Very High,0.879,0.875,0.74,Europe,37,74.3,16.4,13.5,38131,0.004,Positive / Improvement,6.446
67,Luxembourg,Very High,0.927,0.927,0.793,Europe,20,82.6,14.2,13,78554,0,No change / Constant,7.404
68,Malawi,Low,0.508,0.509,0.299,Africa,172,62.9,11.5,5.2,1432,-0.001,Negative / Deterioration,3.75
69,Malaysia,Very High,0.807,0.798,0.649,Asia,63,76.3,12.9,10.7,27295,0.009,Positive / Improvement,5.711
70,Mali,Low,0.41,0.408,0.236,Africa,188,59.4,7,1.6,2044,0.002,Positive / Improvement,4.479
71,Malta,Very High,0.915,0.912,0.726,Europe,25,83.7,15.9,12.2,44464,0.003,Positive / Improvement,6.447
72,Mauritania,Low,0.54,0.538,0.397,Africa,164,64.7,8.1,4.8,5344,0.002,Positive / Improvement,4.153
73,Mauritius,High,0.796,0.79,0.62,Africa,72,74,14.6,10,23252,0.006,Positive / Improvement,6.071
74,Mexico,High,0.781,0.757,0.666,North America,77,74.8,14.5,9.2,19138,0.024,Positive / Improvement,6.128
75,Mongolia,High,0.741,0.73,0.579,Asia,96,72.7,14.5,9.4,10351,0.011,Positive / Improvement,5.761
76,Morocco,Medium,0.698,0.688,0.448,Africa,120,75,14.6,6.1,7955,0.01,Positive / Improvement,5.06
77,Mozambique,Low,0.461,0.459,0.239,Africa,183,59.6,10.7,3.9,1219,0.002,Positive / Improvement,5.048
78,Myanmar,Medium,0.608,0.599,0.333,Asia,144,67.3,12.1,6.5,4038,0.009,Positive / Improvement,4.394
79,Namibia,Medium,0.61,0.616,0.595,Africa,142,58.1,11.8,7.2,9200,-0.006,Negative / Deterioration,4.459
80,Nepal,Medium,0.601,0.591,0.395,Asia,146,70.5,12.6,4.5,4026,0.01,Positive / Improvement,5.377
81,Netherlands,Very High,0.946,0.941,0.847,Europe,10,82.5,18.6,12.6,57278,0.005,Positive / Improvement,7.415
82,New Zealand,Very High,0.939,0.936,0.812,Oceania,16,83,19.7,12.9,43665,0.003,Positive / Improvement,7.2
83,Nicaragua,Medium,0.669,0.665,0.487,North America,130,74.6,12.6,7.3,5427,0.004,Positive / Improvement,6.165
84,Niger,Low,0.394,0.389,0.212,Africa,189,62.1,7.2,1.3,1283,0.005,Positive / Improvement,5.003
85,Norway,Very High,0.966,0.964,0.845,Europe,2,83.4,18.6,13.1,69190,0.002,Positive / Improvement,7.365
86,Pakistan,Low,0.54,0.537,0.394,Asia,164,66.4,7.9,4.4,5374,0.003,Positive / Improvement,4.516
